Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
1933,Kisan Maroti Wankhede,UMARKHED (SC),BJP,0,Graduate Professional,"Rs 94,88,810 ~ 94 Lacs+",Rs 0 ~
1934,Kisan Narayan Sangave,INDAPUR,IND,0,Literate,"Rs 40,000 ~ 40 Thou+",Rs 0 ~
1935,Kisan Shankar Kathore,MURBAD,BJP,1,10th Pass,,
1936,Kisan Sukhdevrao Ingole,BORIVALI,BSP,0,Doctorate,"Rs 1,87,27,192 ~ 1 Crore+",Rs 0 ~
1937,Kisan Vishnu Pathave,AKOLE (ST),IND,0,Graduate Professional,"Rs 2,61,630 ~ 2 Lacs+","Rs 14,500 ~ 14 Thou+"
1938,Kishor Anand Deshmukh,BARSHI,IND,0,Graduate Professional,,
1939,Kishor Appa Patil,PACHORA,Shiv Sena,1,12th Pass,"Rs 53,14,49,551 ~ 53 Crore+","Rs 26,39,26,168 ~ 26 Crore+"
1940,Kishor Baba Pawar,WARDHA,IND,0,Literate,"Rs 78,46,864 ~ 78 Lacs+",Rs 0 ~
1941,Kishor Bandu Uike,BALLARPUR,IND,0,8th Pass,,
1942,Kishor Bhimrao Jadhav,SINNAR,BSP,0,12th Pass,"Rs 33,60,000 ~ 33 Lacs+",Rs 0 ~
1943,Kishor Bhimrao Jejurkar,VAIJAPUR,Vanchit Bahujan Aaghadi,0,10th Pass,"Rs 1,12,09,678 ~ 1 Crore+","Rs 25,27,000 ~ 25 Lacs+"
1944,Kishor Dnyaneshwar Tayade,MURTIZAPUR (SC),Desh Janhit Party,0,10th Pass,,
1945,Kishor Gorakh Pawar,GANGAPUR,IND,1,8th Pass,"Rs 1,17,000 ~ 1 Lacs+",Rs 0 ~
1946,Kishor Madhukar Zope,JALGAON RURAL,Hindustan Janta Party,0,12th Pass,"Rs 50,000 ~ 50 Thou+",Rs 0 ~
1947,Kishor Parmeshwar Gadekar,BARSHI,Rashtriya Samaj Paksha,1,10th Pass,,
1948,Kishor Vitthal Pawar,KARANJA,Peoples Party of India (Democratic),0,Post Graduate,"Rs 86,286 ~ 86 Thou+",Rs 0 ~
1949,Kishor Yadav Borude,JALNA,BSP,0,Literate,"Rs 10,15,000 ~ 10 Lacs+",Rs 0 ~
1950,Kishorkumar Prakash Shinde,PATHRI,IND,0,Graduate,,
1951,Kobnak Krishna Pandurang,SHRIVARDHAN,IND,1,Others,"Rs 3,12,03,252 ~ 3 Crore+","Rs 46,97,917 ~ 46 Lacs+"
1952,Kodape Ramkrushna Madhavrao,ARNI (ST),IND,0,Post Graduate,"Rs 94,02,000 ~ 94 Lacs+",Rs 0 ~
1953,Kohlikar Baburao Kadam,HADGAON,Shiv Sena,2,Graduate,,
1954,Komal Kishor Todankar,RATNAGIRI,IND,0,10th Pass,"Rs 22,13,895 ~ 22 Lacs+","Rs 9,88,587 ~ 9 Lacs+"
1955,Korda Naresh Lakshman,PALGHAR (ST),MNS,0,8th Pass,"Rs 17,50,943 ~ 17 Lacs+","Rs 2,04,390 ~ 2 Lacs+"
1956,Kore Apparao Gopalrao,SOLAPUR SOUTH,IND,0,Others,,
1957,Kosarkar Khushal Dewaji,TIRORA,IND,0,12th Pass,"Rs 25,81,000 ~ 25 Lacs+","Rs 2,85,000 ~ 2 Lacs+"
